result_id,path,width_px,height_px,panels,required_labels
reporting-completeness,results/02_reporting/analyses/reporting/reference/publication_figures/gpu_only_reporting_time_venue.png,1144,638,1,GPU model reported; GPU model + count; Publication year
reporting-by-venue,results/02_reporting/analyses/reporting/reference/publication_figures/gpu_only_reporting_time_venue_b.png,1158,737,1,ACL; EMNLP; NAACL; Share of all papers
gpu-evolution,results/03_gpu_scale/analyses/combined_evolution/reference/publication_figures/rq1_gpu_resource_combined_from_data_horizontal_emnlp2026_no_titles_b_legend.png,1889,685,3,GPU count; GPU generation; Reported capacity
gpu-count,results/03_gpu_scale/analyses/gpu_counts/reference/publication_figures/gpu_count_bin_composition_over_time.png,2138,798,1,Publication year; Share of papers
gpu-count-scale,results/03_gpu_scale/analyses/gpu_counts/reference/publication_figures/gpu_count_scale_classes_over_time.png,2122,704,1,Publication year; Share of papers
gpu-memory,results/03_gpu_scale/analyses/gpu_memory/reference/publication_figures/memory_trends_over_time.png,1815,1166,4,a; b; c; d; GPU memory
gpu-capacity,results/03_gpu_scale/analyses/reported_peak/reference/publication_figures/reported_peak_tflops_distribution_p99_trimmed_a.png,1209,814,1,Reported peak GPU configuration capacity; TFLOP/s
top-gpu-model,results/03_gpu_scale/analyses/top_gpu_models/reference/publication_figures/top_gpu_models_by_year.png,2193,1072,1,GPU model; Publication year
country,results/04_contexts/analyses/country/reference/publication_figures/country_top20_compute_share_lollipop.png,2517,1815,1,Country; top 20%
institution,results/04_contexts/analyses/institution/reference/publication_figures/institution_access_regime_compute.png,4389,2079,2,a; b; institutional access regime
topic-main,results/04_contexts/analyses/topics/reference/publication_figures/nlp_topic_compute_emnlp_p99_trimmed_a.png,2607,1607,1,IQR; Median; P90; Reported peak GPU configuration capacity
topic-appendix,results/04_contexts/analyses/topics/reference/publication_figures/nlp_topic_compute_appendix_full_topics_p99_trimmed.png,3681,4953,2,a; b; IQR; Median; P90
impact-concentration,results/05_scholarly_impact/analyses/impact/reference/publication_figures/rq3_high_compute_high_impact_combined_ab_title.png,4609,2049,2,a; b; Reported GPU capacity; Citations; Awards
