primary_topic,year_str,n_papers,min_citations,mean_citations,median_citations,max_citations,sparse_cell_lt10,reference_set
Clinical and Biomedical Applications,2020,7,6,72.85714285714286,38.0,199,True,primary_topic_x_year
Computational Social Science and Cultural Analytics,2020,17,0,40.05882352941177,23.0,199,False,primary_topic_x_year
Dialogue and Interactive Systems,2020,39,0,35.84615384615385,20.0,227,False,primary_topic_x_year
Discourse and Pragmatics,2020,10,0,35.2,17.0,164,False,primary_topic_x_year
Efficient Methods for NLP,2020,17,0,58.294117647058826,10.0,287,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2020,6,0,34.166666666666664,34.5,70,True,primary_topic_x_year
Generation,2020,42,0,31.69047619047619,18.0,116,False,primary_topic_x_year
Human-Centered NLP and Human-AI Interaction,2020,3,0,17.0,18.0,33,True,primary_topic_x_year
Information Extraction,2020,32,0,70.53125,28.5,560,False,primary_topic_x_year
Information Retrieval and Text Mining,2020,7,2,34.57142857142857,12.0,142,True,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2020,15,3,31.933333333333334,15.0,157,False,primary_topic_x_year
LLM agents,2020,1,66,66.0,66.0,66,True,primary_topic_x_year
Language Modeling,2020,17,0,63.05882352941177,17.0,408,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2020,3,7,17.333333333333332,7.0,38,True,primary_topic_x_year
Machine Learning for NLP,2020,28,0,49.464285714285715,17.5,206,False,primary_topic_x_year
Machine Translation,2020,41,0,30.609756097560975,23.0,99,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2020,28,0,59.82142857142857,28.0,539,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2020,26,0,63.88461538461539,44.0,386,False,primary_topic_x_year
NLP Applications,2020,12,0,34.833333333333336,19.0,135,False,primary_topic_x_year
NLP and Code Models,2020,3,9,39.333333333333336,24.0,85,True,primary_topic_x_year
NLP and Symbolic Reasoning,2020,12,1,63.75,48.5,336,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2020,8,0,11.875,12.5,26,True,primary_topic_x_year
Question Answering,2020,24,2,43.541666666666664,19.5,205,False,primary_topic_x_year
Resources and Evaluation,2020,3,4,31.0,12.0,77,True,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2020,9,2,40.111111111111114,15.0,149,True,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2020,9,2,68.0,25.0,193,True,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2020,3,53,68.0,73.0,78,True,primary_topic_x_year
Summarization,2020,25,2,86.76,51.0,408,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2020,14,2,32.0,22.5,89,False,primary_topic_x_year
Clinical and Biomedical Applications,2021,6,7,23.5,13.5,61,True,primary_topic_x_year
Computational Social Science and Cultural Analytics,2021,27,0,23.814814814814813,7.0,261,False,primary_topic_x_year
Dialogue and Interactive Systems,2021,62,0,20.080645161290324,12.5,95,False,primary_topic_x_year
Discourse and Pragmatics,2021,11,0,8.818181818181818,6.0,24,False,primary_topic_x_year
Efficient Methods for NLP,2021,36,0,20.416666666666668,15.0,120,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2021,12,5,48.833333333333336,41.0,110,False,primary_topic_x_year
