paper_id,track,year,venue,is_disclosed,is_strict,is_lb1_gfimp,paper_gpu_num_total,paper_max_row_compute_capability,paper_max_row_compute_capability_gfimp_lb1,team_size,cited_by_count,openalex_field_normalized_percentile,primary_topic,n_organizations
2020.findings-emnlp.102,findings,2020,emnlp,1,0,1,,,112000000000000,4,23,0.92233628000000001,Semantics: Lexical and Sentence-Level,2
2020.findings-emnlp.107,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,5,62,0.97593987000000004,Resources and Evaluation,2
2020.findings-emnlp.109,findings,2020,emnlp,1,0,1,,,11340000000000,4,12,0.85662161999999997,Interpretability and Analysis of Models for NLP,2
2020.findings-emnlp.11,findings,2020,emnlp,1,0,1,1,,12150000000000,4,43,0.96147196000000001,Dialogue and Interactive Systems,3
2020.findings-emnlp.110,findings,2020,emnlp,1,0,1,1,,11340000000000,2,60,0.96016261999999997,Clinical and Biomedical Applications,2
2020.findings-emnlp.111,findings,2020,emnlp,1,0,1,1,,9526000000000,4,10,0.84784601999999998,Generation,1
2020.findings-emnlp.113,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,4,1,0.55659333,Information Extraction,1
2020.findings-emnlp.114,findings,2020,emnlp,1,1,1,1,107000000000000,107000000000000,3,54,0.9351758,Information Extraction,2
2020.findings-emnlp.116,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,5,8,0.91342707999999995,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",1
2020.findings-emnlp.118,findings,2020,emnlp,1,0,1,2,,312000000000000,3,2,0.63786533000000001,"Syntax: Tagging, Chunking and Parsing",2
2020.findings-emnlp.120,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,5,14,0.86683014999999997,"Phonology, Morphology, and Word Segmentation",2
2020.findings-emnlp.122,findings,2020,emnlp,1,0,1,1,,6691000000000,4,8,0.81549298000000003,Dialogue and Interactive Systems,1
2020.findings-emnlp.123,findings,2020,emnlp,1,1,1,25,2731200000000000,2731200000000000,5,45,0.95350014999999999,Language Modeling,2
2020.findings-emnlp.124,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,5,133,0.96960601000000002,"Multimodality and Language Grounding to Vision, Robotics and Beyond",2
2020.findings-emnlp.125,findings,2020,emnlp,1,0,1,1,,12150000000000,4,12,0.85987013999999995,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.126,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,4,17,0.90309656999999999,Dialogue and Interactive Systems,1
2020.findings-emnlp.127,findings,2020,emnlp,1,0,1,1,,11340000000000,5,19,0.89708977999999995,Dialogue and Interactive Systems,3
2020.findings-emnlp.129,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,5,75,0.97389990000000004,Efficient Methods for NLP,2
2020.findings-emnlp.130,findings,2020,emnlp,1,1,1,1,125000000000000,125000000000000,6,8,0.79724676000000005,Efficient Methods for NLP,1
2020.findings-emnlp.133,findings,2020,emnlp,1,0,1,1,,11760000000000,3,67,0.97302732999999997,Question Answering,1
2020.findings-emnlp.134,findings,2020,emnlp,1,1,1,9,896000000000000,896000000000000,3,5,0.75344233999999999,Efficient Methods for NLP,2
2020.findings-emnlp.135,findings,2020,emnlp,1,0,1,2,,22680000000000,5,4,0.73574094000000001,Discourse and Pragmatics,2
2020.findings-emnlp.139,findings,2020,emnlp,1,1,1,16,1792000000000000,1792000000000000,11,2457,0.99972556000000001,NLP and Code Models,4
2020.findings-emnlp.141,findings,2020,emnlp,1,0,1,1,,11760000000000,5,120,0.97106241999999998,NLP Applications,2
2020.findings-emnlp.145,findings,2020,emnlp,1,1,1,3,113800000000000,113800000000000,4,23,0.92247372000000005,Question Answering,2
2020.findings-emnlp.147,findings,2020,emnlp,1,0,1,1,,8873000000000,4,44,0.93701551000000005,Machine Translation,2
2020.findings-emnlp.148,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,4,33,0.92617397999999995,Resources and Evaluation,2
2020.findings-emnlp.149,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,3,3,0.70819679000000002,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2
2020.findings-emnlp.15,findings,2020,emnlp,1,1,1,17,896000000000000,896000000000000,6,2,0.65700210999999997,Dialogue and Interactive Systems,1
2020.findings-emnlp.150,findings,2020,emnlp,1,0,1,,,11340000000000,3,4,0.72438444000000002,Multilingualism and Cross-Lingual NLP,2
2020.findings-emnlp.151,findings,2020,emnlp,1,0,1,4,,38104000000000,4,47,0.96375789000000001,Efficient Methods for NLP,3
2020.findings-emnlp.152,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,6,3,0.70325837000000002,Efficient Methods for NLP,4
2020.findings-emnlp.154,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,6,0,0.11430744,Information Retrieval and Text Mining,5
2020.findings-emnlp.155,findings,2020,emnlp,1,0,1,1,,11340000000000,3,5,0.69847077999999996,Machine Translation,1
2020.findings-emnlp.157,findings,2020,emnlp,1,0,1,1,,9526000000000,5,32,0.95177847000000004,Dialogue and Interactive Systems,3
2020.findings-emnlp.159,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,4,2,0.55052197999999997,NLP Applications,2
2020.findings-emnlp.16,findings,2020,emnlp,1,0,1,1,,6691000000000,2,22,0.88365079999999996,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.160,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,4,0,0.15426446999999999,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.161,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,5,39,0.94580321999999994,Summarization,3
2020.findings-emnlp.162,findings,2020,emnlp,1,1,1,8,910400000000000,910400000000000,4,20,0.90855560000000002,Machine Translation,2
2020.findings-emnlp.163,findings,2020,emnlp,1,0,1,,,113800000000000,4,117,0.98389523000000001,Dialogue and Interactive Systems,1
2020.findings-emnlp.164,findings,2020,emnlp,1,1,1,2,250000000000000,250000000000000,7,5,0.74601589999999995,Machine Learning for NLP,3
2020.findings-emnlp.165,findings,2020,emnlp,1,1,1,3,267600000000000,267600000000000,7,24,0.90215590000000001,Generation,3
2020.findings-emnlp.166,findings,2020,emnlp,1,0,1,1,,11340000000000,5,0,0.12699419000000001,Information Extraction,1
