result_id,paper_label,kind,section,status,workflow,primary_reference,verification
sample-flow,tab:corpus-reporting-coverage,table,Sample,verified,sample_audit,results/01_sample/analyses/sample_audit/reference/source_data/sample_flow.csv,exact counts IDs and displayed rounding
reporting-completeness,fig:reproting-completeness,figure,Reporting,verified,reporting,results/02_reporting/analyses/reporting/reference/publication_figures/gpu_only_reporting_time_venue.png,source data exact plus publication figure contract
reporting-by-venue,fig:reporting-time,figure,Reporting,verified,reporting,results/02_reporting/analyses/reporting/reference/publication_figures/gpu_only_reporting_time_venue_b.png,source data exact plus publication figure contract
gpu-evolution,fig:reported-GPU,figure,GPU scale,verified,combined_evolution,results/03_gpu_scale/analyses/combined_evolution/reference/publication_figures/rq1_gpu_resource_combined_from_data_horizontal_emnlp2026_no_titles_b_legend.png,source data exact plus publication figure contract
gpu-count,fig:gpu-count,figure,GPU scale,verified,gpu_counts,results/03_gpu_scale/analyses/gpu_counts/reference/publication_figures/gpu_count_bin_composition_over_time.png,source data exact plus publication figure contract
top-gpu-model,fig:top-model,figure,GPU scale,verified,top_gpu_models,results/03_gpu_scale/analyses/top_gpu_models/reference/publication_figures/top_gpu_models_by_year.png,source data exact plus publication figure contract
gpu-memory,fig:memory,figure,GPU scale,verified,gpu_memory,results/03_gpu_scale/analyses/gpu_memory/reference/publication_figures/memory_trends_over_time.png,source data exact plus publication figure contract
gpu-capacity,fig:gpu-capacity,figure,GPU scale,verified,reported_peak,results/03_gpu_scale/analyses/reported_peak/reference/publication_figures/reported_peak_tflops_distribution_p99_trimmed_a.png,source data exact plus publication figure contract
country,fig:gpu-country,figure,Contexts,verified,country,results/04_contexts/analyses/country/reference/publication_figures/country_top20_compute_share_lollipop.png,source data exact plus publication figure contract
institution-figure,fig:reported-institution,figure,Contexts,verified,institution,results/04_contexts/analyses/institution/reference/publication_figures/institution_access_regime_compute.png,source data exact plus publication figure contract
topic-main,fig:topic-part,figure,Contexts,verified,topics,results/04_contexts/analyses/topics/reference/publication_figures/nlp_topic_compute_emnlp_p99_trimmed_a.png,source data exact plus publication figure contract
topic-appendix,fig:topic,figure,Contexts,verified,topics,results/04_contexts/analyses/topics/reference/publication_figures/nlp_topic_compute_appendix_full_topics_p99_trimmed.png,source data exact plus publication figure contract
impact-concentration,fig:impact-concentration,figure,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/publication_figures/rq3_high_compute_high_impact_combined_ab_title.png,source data exact plus publication figure contract
cutoff-sensitivity,tab:cutoff-sensitivity,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/rebuttal_cutoff_sensitivity_descriptive.csv,all nine cells exact at paper rounding
adjusted-impact,tab:adjusted-impact,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/overall_gpu_capability_table.csv,coefficients significance sample sizes and delta R2
institution-regression,tab:institutional_compute_regression,table,Contexts,verified,institution,results/04_contexts/analyses/institution/reference/source_data/institution_fe_main_models.csv,coefficients intervals and sample exact within tolerance
continuous-cutoffs,tab:continuous-cutoff-sensitivity,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/rebuttal_cutoff_sensitivity_lpm_continuous.csv,coefficients intervals and displayed rounding
impact-aggregate,tab:impact-aggregate-full,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/overall_gpu_capability_models.csv,coefficients intervals and model statistics
impact-components,tab:impact-components-full,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/overall_gpu_capability_models.csv,joint component models and sample sizes
impact-confounding,tab:impact-confounding-robustness,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/common_sample_confounder_table.csv,common N coefficients intervals and delta R2
award-firth,tab:award-firth-joint,table,Scholarly impact,verified,impact,results/05_scholarly_impact/analyses/impact/reference/tables/award_joint_count_ampere_firth_models.csv,coefficients profile intervals and omnibus test
consumption-audit,tab:consumption_audit,table,Sample,verified,sample_audit,results/01_sample/analyses/sample_audit/reference/tables/consumption_visibility_audit.csv,240 labels with 92 visible and 148 not visible
llm-extraction,tab:llm_extraction_performance,table,Extraction evaluation,reported_only,none,results/01_sample/reported_only/llm_extraction_performance/README.md,values documented but evaluation corpus and frozen predictions absent
reporting-missingness,tab:reporting-incremental-power; tab:reporting-lpm-coefficients,table,Sample selection,reported_only,none,results/01_sample/reported_only/reporting_missingness/README.md,values documented but full-sample modeling input absent
dataset-components,tab:dataset_components,documentation,Data,documented,none,README.md,descriptive provenance table
boundary-cases,tab:boundary_cases,documentation,Data,documented,none,README.md,annotation-policy examples
track-sample-extension,tab:track-sample-extension,table,Scholarly impact appendix,verified,track_extension,results/05_scholarly_impact/analyses/track_extension/reference/tables/track_sample_comparison.csv,Main Findings and pooled sample counts rates and medians
track-citation-extension,tab:track-citation-extension,table,Scholarly impact appendix,verified,track_extension,results/05_scholarly_impact/analyses/track_extension/reference/tables/track_core_citation_regressions.csv,coefficients standard errors delta R2 and track-difference tests
track-high-impact-extension,tab:track-high-impact-extension,table,Scholarly impact appendix,verified,track_extension,results/05_scholarly_impact/analyses/track_extension/reference/tables/track_high_capability_impact.csv,high-capability and high-impact concentration by track
