mention_row_id,paper_id,qc_action,old_role,new_role,old_has_upstream_dependency,new_has_upstream_dependency,old_confidence,new_confidence,old_human_review_needed,new_human_review_needed,evidence
acl2023:2023.acl-long.122_gpu.json:0,2023.acl-long.122,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs."
acl2023:2023.acl-long.122_gpu.json:1,2023.acl-long.122,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs."
acl2023:2023.acl-long.122_gpu.json:2,2023.acl-long.122,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs."
acl2023:2023.acl-long.122_gpu.json:3,2023.acl-long.122,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs."
acl2023:2023.acl-long.551_gpu.json:1,2023.acl-long.551,auto_flip_to_local_strict,uncertain,local,0,0,0.5,0.9,1,False,We train each model on an A100 machine.
acl2025:2025.acl-long.1525_gpu.json:6,2025.acl-long.1525,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,our experiments are conducted solely on NVIDIA A800 GPUs with 80GB of memory...
acl2025:2025.acl-long.1563_gpu.json:4,2025.acl-long.1563,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types
acl2025:2025.acl-long.1563_gpu.json:5,2025.acl-long.1563,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types
acl2025:2025.acl-long.1563_gpu.json:6,2025.acl-long.1563,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types
emnlp2022:2022.emnlp-main.141_gpu.json:1,2022.emnlp-main.141,auto_flip_to_local_strict,background,local,1,1,1.0,1.0,0,False,"We used an NVidia V100 for all experiments except those with GPT-J-6B, for which we used an RTX 8000 due to memory requirements."
emnlp2025:2025.emnlp-main.308_gpu.json:3,2025.emnlp-main.308,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,All our experiments were conducted on NVIDIA A30 GPUs with 24GB VRAM.
emnlp2025:2025.emnlp-main.727_gpu.json:2,2025.emnlp-main.727,auto_flip_to_local_strict,background,local,0,0,1.0,1.0,0,False,"Our experiments were conducted on a $10 	ext{%}$ subset of the AirBench dataset, with our defense mechanism deployed on a single NVIDIA RTX A6000 GPU (48GB)."
