mention_row_id,paper_id,title,section_title,gpu_name,gpu_num,compute_a100eq,old_role,suggested_role,has_upstream_dependency_llm,suggested_has_upstream_dependency,compute_role_confidence,suggested_confidence,human_review_needed,suggested_human_review_needed,qc_action,qc_reason,compute_role_evidence,compute_role_reason,context_snippet
acl2023:2023.acl-long.122_gpu.json:0,2023.acl-long.122,Breeding Machine Translations: Evolutionary approach to survive and thrive in the world of automated evaluation,hardware,Quadro RTX 5000,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs.",The hardware is mentioned in the context of running experiments but not specifically used for the authors' own experiments.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs. The running time depends on population size, number of generations, and fitness function. We leave the first two fixed, so the computational requirements are most influenced by the fitness function. For the most computationally intensive fitness (combination of wmt20-comet-da and wmt20-comet-qe-da-v2), optimizing 150 examples on RTX A4000 takes 5 days. We discuss the computational requirements in Section 9."
acl2023:2023.acl-long.122_gpu.json:1,2023.acl-long.122,Breeding Machine Translations: Evolutionary approach to survive and thrive in the world of automated evaluation,hardware,GeForce GTX 1080 Ti,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs.",The hardware is mentioned in the context of running experiments but not specifically used for the authors' own experiments.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs. The running time depends on population size, number of generations, and fitness function. We leave the first two fixed, so the computational requirements are most influenced by the fitness function. For the most computationally intensive fitness (combination of wmt20-comet-da and wmt20-comet-qe-da-v2), optimizing 150 examples on RTX A4000 takes 5 days. We discuss the computational requirements in Section 9."
acl2023:2023.acl-long.122_gpu.json:2,2023.acl-long.122,Breeding Machine Translations: Evolutionary approach to survive and thrive in the world of automated evaluation,hardware,RTX A4000,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs.",The hardware is mentioned in the context of running experiments but not specifically used for the authors' own experiments.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs. The running time depends on population size, number of generations, and fitness function. We leave the first two fixed, so the computational requirements are most influenced by the fitness function. For the most computationally intensive fitness (combination of wmt20-comet-da and wmt20-comet-qe-da-v2), optimizing 150 examples on RTX A4000 takes 5 days. We discuss the computational requirements in Section 9."
acl2023:2023.acl-long.122_gpu.json:3,2023.acl-long.122,Breeding Machine Translations: Evolutionary approach to survive and thrive in the world of automated evaluation,hardware,GeForce RTX 3090,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs.",The hardware is mentioned in the context of running experiments but not specifically used for the authors' own experiments.,"We ran all the experiments on a grid server with heterogeneous nodes, with Quadro RTX 5000, GeForce GTX 1080 Ti, RTX A4000, or GeForce RTX 3090 GPUs. The running time depends on population size, number of generations, and fitness function. We leave the first two fixed, so the computational requirements are most influenced by the fitness function. For the most computationally intensive fitness (combination of wmt20-comet-da and wmt20-comet-qe-da-v2), optimizing 150 examples on RTX A4000 takes 5 days. We discuss the computational requirements in Section 9."
acl2023:2023.acl-long.551_gpu.json:1,2023.acl-long.551,An Inner Table Retriever for Robust Table Question Answering,inference with itr models,A100,,,uncertain,local,0,0,0.5,0.9,1,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,We train each model on an A100 machine.,It is unclear if the A100 is used for their own experiments or if it refers to a baseline.,"e denotation cannot be found in the table. It is not clear if this decision continues to be true for the subsequent developments. Therefore, this does not allow a straightforward assessment of ITR contribution. To this end, we unify the implementations in a single evaluation framework, using the dataset splits, checkpoints and evaluation methods made available in the huggingface library for all the baselines. We release our unified framework upon acceptance. <table><tr><td>Baseline</td><td>Checkpoints</td></tr><tr><td colspan=""2"">WikiSQL</td></tr><tr><td>TaPEx</td><td>microsoft/tapex-large-finetuned-wikisql</td></tr><tr><td>TaPas</td><td>google/tapas-large-finetuned-wikisql-supervised</td></tr><tr><td colspan=""2"">WikiTQ</td></tr><tr><td>TaPEx</td><td>microsoft/tapex-large-finetuned-wtq</td></tr><tr><td>TaPas</td><td>google/tapas-large-finetuned-wtq</td></tr><tr><td>OmniTab</td><td>neulab/omnitab-large-finetuned-wtq</td></tr></table> Table 9: Checkpoints released via the huggingface library for TaPEx, TaPas and OmniTab, that we use as baselines for inference only experiments with ITR. Table 10: Training and inference speed for TaPEx and ITR-enhanced TaPEx. We train each model on an A100 machine. Batch size is shown per GPU. <table><tr><td>Training &amp; Decoding Approach</td><td>Training Speed ↑ (iter/sec)</td><td>Training Batch Size</td><td>Training Time (mins)</td><td>Inference Speed ↑ (iter/sec)</td><td>Inference Batch Size</td></tr><tr><td>TaPEx</td><td>3.58</td><td>1</td><td>460</td><td>1.02</td><td>16</td></tr><tr><td>ITR → TaPEx</td><td>3.32</td><td>1</td><td>480</td><td>1.30</td><td>4</td></tr></table>"
acl2025:2025.acl-long.1525_gpu.json:6,2025.acl-long.1525,CLaSp: In-Context Layer Skip for Self-Speculative Decoding,limitations,NVIDIA A800 80GB,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,our experiments are conducted solely on NVIDIA A800 GPUs with 80GB of memory...,The context discusses limitations without indicating the authors' use of the hardware.,"The CLaSp framework dynamically adjusts the layer-skipping strategy based on context, making the self-speculative decoding process of LLMs more efficient. However, certain limitations exist. Our experiments are conducted solely on NVIDIA A800 GPUs with 80GB of memory and limited to LLaMA series models, leaving the potential of more powerful hardware and other models unexplored. Additionally, while CLaSp can function alongside many existing speculative decoding innovations, we do not investigate these integrations. We believe that addressing these limitations and exploring such combinations in future research could lead to significant advancements."
acl2025:2025.acl-long.1563_gpu.json:4,2025.acl-long.1563,Energy Considerations of Large Language Model Inference and Efficiency Optimizations,fulltext fallback,A6000,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types,"The compute is mentioned in the context of experimental setup, not actual experiments.","tion. Furthermore, for vLLM, we evaluate continuous batching which overlays sequences to allow for increased hardware utilization when processing batches with variable sequence length (Yu et al., 2022). Hardware Platforms. Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types and node configurations. Specifically, we conduct experiments on multiple generations of consumer workstation and datacenter GPU accelerators from the Ampere (A6000, A100 80GB PCIe), and Ada Lovelace (A6000 Ada) microarchitectures. All experiments run on 8-GPU nodes with standardized node- and job-level CPU and RAM configurations for each GPU type. For multi-GPU experiments, we utilize up to 4 GPUs simultaneously, investigating tensor parallel inference with group sizes of 2 and 4. ${}^{1}$ . Additional details on computing hardware are provided in Appendix A. Performance Measures. We evaluate the efficiency of inference by measuring the latency, throughput, GPU energy, and GPU power required for the inference of 1,024 examples $^{2}$ . Total energy use and GPU power metrics are measured using Nvidia Management Library (NVML) via the CodeCarbon library (Courty et al., 2024). Prior to evaluation, we conduct a warmup on up to 20 batches to allow for memory allocation, required CUDA graph capture, and JiT compilation $^{3}$ . Results are reported as the mean values energy use, latency, or power usage of three runs. # 3 Results In this section, we examine the effects of the variables discussed in §2 on inference energy use. Figure 2: Controlled sweeps of input and output sequence lengths on A6000 GPUs, on vLLM backend, described in §3.1. We decompose inference costs into prefetch and decode energy. At small batch sizes and input sequence lengths, energy intensity of a workload scales sub-linearly with increasing sequence length input sequence lengths. Decoding is more energy intensive per token than prefetch, but energy intensity begins scaling linearly even for short generations and small batch sizes with the vLLM framework. Figure 3: At small batch sizes, speculative decoding provides reduced latency and energy savings. At larger batch size speculative decoding increases energy. Figure 4: Mixture-of-Experts LLMs require more energy than dense models with comparable active parameters; differences are pronounced at larger batch sizes. # 3.1 Effects of Dataset and Sequence Length We present results from our controlled sweep of sequence lengths and batch sizes in Figure 2. For small input sequence lengths or batch sizes, pref"
acl2025:2025.acl-long.1563_gpu.json:5,2025.acl-long.1563,Energy Considerations of Large Language Model Inference and Efficiency Optimizations,fulltext fallback,A100 80GB PCIe,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types,"The compute is mentioned in the context of experimental setup, not actual experiments.","tion. Furthermore, for vLLM, we evaluate continuous batching which overlays sequences to allow for increased hardware utilization when processing batches with variable sequence length (Yu et al., 2022). Hardware Platforms. Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types and node configurations. Specifically, we conduct experiments on multiple generations of consumer workstation and datacenter GPU accelerators from the Ampere (A6000, A100 80GB PCIe), and Ada Lovelace (A6000 Ada) microarchitectures. All experiments run on 8-GPU nodes with standardized node- and job-level CPU and RAM configurations for each GPU type. For multi-GPU experiments, we utilize up to 4 GPUs simultaneously, investigating tensor parallel inference with group sizes of 2 and 4. ${}^{1}$ . Additional details on computing hardware are provided in Appendix A. Performance Measures. We evaluate the efficiency of inference by measuring the latency, throughput, GPU energy, and GPU power required for the inference of 1,024 examples $^{2}$ . Total energy use and GPU power metrics are measured using Nvidia Management Library (NVML) via the CodeCarbon library (Courty et al., 2024). Prior to evaluation, we conduct a warmup on up to 20 batches to allow for memory allocation, required CUDA graph capture, and JiT compilation $^{3}$ . Results are reported as the mean values energy use, latency, or power usage of three runs. # 3 Results In this section, we examine the effects of the variables discussed in §2 on inference energy use. Figure 2: Controlled sweeps of input and output sequence lengths on A6000 GPUs, on vLLM backend, described in §3.1. We decompose inference costs into prefetch and decode energy. At small batch sizes and input sequence lengths, energy intensity of a workload scales sub-linearly with increasing sequence length input sequence lengths. Decoding is more energy intensive per token than prefetch, but energy intensity begins scaling linearly even for short generations and small batch sizes with the vLLM framework. Figure 3: At small batch sizes, speculative decoding provides reduced latency and energy savings. At larger batch size speculative decoding increases energy. Figure 4: Mixture-of-Experts LLMs require more energy than dense models with comparable active parameters; differences are pronounced at larger batch sizes. # 3.1 Effects of Dataset and Sequence Length We present results from our controlled sweep of sequence lengths and batch sizes in Figure 2. For small input sequence lengths or batch sizes, pref"
acl2025:2025.acl-long.1563_gpu.json:6,2025.acl-long.1563,Energy Considerations of Large Language Model Inference and Efficiency Optimizations,fulltext fallback,A6000 Ada,,,background,local,0,0,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types,"The compute is mentioned in the context of experimental setup, not actual experiments.","tion. Furthermore, for vLLM, we evaluate continuous batching which overlays sequences to allow for increased hardware utilization when processing batches with variable sequence length (Yu et al., 2022). Hardware Platforms. Our experiments are conducted using an on-premise heterogeneous server with multiple GPU types and node configurations. Specifically, we conduct experiments on multiple generations of consumer workstation and datacenter GPU accelerators from the Ampere (A6000, A100 80GB PCIe), and Ada Lovelace (A6000 Ada) microarchitectures. All experiments run on 8-GPU nodes with standardized node- and job-level CPU and RAM configurations for each GPU type. For multi-GPU experiments, we utilize up to 4 GPUs simultaneously, investigating tensor parallel inference with group sizes of 2 and 4. ${}^{1}$ . Additional details on computing hardware are provided in Appendix A. Performance Measures. We evaluate the efficiency of inference by measuring the latency, throughput, GPU energy, and GPU power required for the inference of 1,024 examples $^{2}$ . Total energy use and GPU power metrics are measured using Nvidia Management Library (NVML) via the CodeCarbon library (Courty et al., 2024). Prior to evaluation, we conduct a warmup on up to 20 batches to allow for memory allocation, required CUDA graph capture, and JiT compilation $^{3}$ . Results are reported as the mean values energy use, latency, or power usage of three runs. # 3 Results In this section, we examine the effects of the variables discussed in §2 on inference energy use. Figure 2: Controlled sweeps of input and output sequence lengths on A6000 GPUs, on vLLM backend, described in §3.1. We decompose inference costs into prefetch and decode energy. At small batch sizes and input sequence lengths, energy intensity of a workload scales sub-linearly with increasing sequence length input sequence lengths. Decoding is more energy intensive per token than prefetch, but energy intensity begins scaling linearly even for short generations and small batch sizes with the vLLM framework. Figure 3: At small batch sizes, speculative decoding provides reduced latency and energy savings. At larger batch size speculative decoding increases energy. Figure 4: Mixture-of-Experts LLMs require more energy than dense models with comparable active parameters; differences are pronounced at larger batch sizes. # 3.1 Effects of Dataset and Sequence Length We present results from our controlled sweep of sequence lengths and batch sizes in Figure 2. For small input sequence lengths or batch sizes, pref"
emnlp2022:2022.emnlp-main.141_gpu.json:1,2022.emnlp-main.141,Prompt-and-Rerank: A Method for Zero-Shot and Few-Shot Arbitrary Textual Style Transfer with Small Language Models,computational details,RTX 8000,1.0,,background,local,1,1,1.0,1.0,0,False,auto_flip_to_local_strict,Strict evidence sentence says authors/all experiments used hardware.,"We used an NVidia V100 for all experiments except those with GPT-J-6B, for which we used an RTX 8000 due to memory requirements.",The mention of the RTX 8000 is in the context of running inference on pre-trained models.,"The computational cost of our experiments were quite low, as they only involve running inference on pre-trained models. All experiments were conducted on a single GPU. We usde an NVidia V100 for all experiments except those with GPT-J-6B, for which we used an RTX 8000 due to memory requirements. We estimate that all experiments for this paper consumed fewer than 30 GPU-days."
