source_file,gpu_name,gpu_num,benchmark_gpu_name,gpu_vendor,benchmark_generation,benchmark_family,benchmark_release_date,benchmark_release_price_usd,benchmark_tdp_w,benchmark_memory_bytes,benchmark_memory_bandwidth_bytes_per_s,benchmark_fp32_flops,benchmark_tf32_flops,benchmark_tensor_fp16_bf16_flops,benchmark_fp8_flops,benchmark_max_performance,benchmark_energy_efficiency,benchmark_process_size_nm,normalize_status,normalize_reason,paper_id
2020.acl-main.119_gpu.json,Nvidia P4,1,NVIDIA Tesla P4,NVIDIA,Pascal,Tesla,2016-09-13,,75,8000000000,192300000000,5704000000000,,,,22000000000000,293333333333.33301,16,normalized,manual_default_variant_rule,2020.acl-main.119
2020.acl-main.121_gpu.json,NVIDIA TITAN XP,1,NVIDIA TITAN Xp,NVIDIA,Pascal,TITAN,2017-04-06,1199,250,12000000000,548000000000,12150000000000,,,,12150000000000,48600000000,16,normalized,exact_match,2020.acl-main.121
2020.acl-main.125_gpu.json,NVIDIA P40,4,NVIDIA P40,NVIDIA,Pascal,Tesla,2016-09-13,5699,250,24000000000,694300000000,11760000000000,,,,11760000000000,47040000000,,normalized,exact_match,2020.acl-main.125
2020.acl-main.129_gpu.json,NVIDIA GeForce RTX 2080,1,NVIDIA GeForce RTX 2080,NVIDIA,Turing,GeForce RTX,,,,8000000000,,,,107000000000000,,,,,normalized,exact_match,2020.acl-main.129
2020.acl-main.133_gpu.json,Tesla P100,1,NVIDIA Tesla P100 PCIe 16GB,NVIDIA,Pascal,Tesla,2016-06-20,,250,,732200000000,9526000000000,,,,19050000000000,76200000000,16,normalized,normalized NVIDIA special-case rule,2020.acl-main.133
2020.acl-main.144_gpu.json,NVIDIA P100,1,NVIDIA Tesla P100 PCIe 16GB,NVIDIA,Pascal,Tesla,2016-06-20,,250,,732200000000,9526000000000,,,,19050000000000,76200000000,16,normalized,normalized NVIDIA special-case rule,2020.acl-main.144
2020.acl-main.145_gpu.json,Nvidia GTX 1080X,4,NVIDIA GeForce GTX 1080,NVIDIA,Pascal,GeForce GTX,2016-05-27,599,180,8000000000,320300000000,8873000000000,,,,8873000000000,49294444444.444397,16,normalized,manual_default_variant_rule,2020.acl-main.145
2020.acl-main.149_gpu.json,Nvidia P100,16,NVIDIA Tesla P100 PCIe 16GB,NVIDIA,Pascal,Tesla,2016-06-20,,250,,732200000000,9526000000000,,,,19050000000000,76200000000,16,normalized,normalized NVIDIA special-case rule,2020.acl-main.149
2020.acl-main.156_gpu.json,NVIDIA GeForce GTX 1080 Ti,4,NVIDIA GeForce GTX 1080 Ti,NVIDIA,Pascal,GeForce GTX,2017-03-10,699,250,11000000000,484000000000,11340000000000,,,,11340000000000,45360000000,16,normalized,exact_match,2020.acl-main.156
2020.acl-main.15_gpu.json,NVIDIA 2080Ti,2,NVIDIA GeForce RTX 2080 Ti,NVIDIA,Turing,GeForce RTX,,,,11000000000,,,,113800000000000,,,,,normalized,normalized GeForce RTX shorthand rule,2020.acl-main.15
2020.acl-main.167_gpu.json,V100,1,NVIDIA Tesla V100 PCIe 16 GB,NVIDIA,Volta,Tesla,2017-06-21,10664,250,16000000000,897000000000,14130000000000,,112000000000000,,112000000000000,448000000000,12,normalized,normalized NVIDIA special-case rule,2020.acl-main.167
2020.acl-main.171_gpu.json,NVIDIA V100,4,NVIDIA Tesla V100 PCIe 16 GB,NVIDIA,Volta,Tesla,2017-06-21,10664,250,16000000000,897000000000,14130000000000,,112000000000000,,112000000000000,448000000000,12,normalized,normalized NVIDIA special-case rule,2020.acl-main.171
2020.acl-main.200_gpu.json,NVIDIA Quadro P100,,NVIDIA P100,NVIDIA,Pascal,Tesla,2016-04-05,5699,250,16000000000,732000000000,9300000000000,,,,18700000000000,74800000000,16,normalized,manual_default_variant_rule,2020.acl-main.200
2020.acl-main.202_gpu.json,P100,1,NVIDIA Tesla P100 PCIe 16GB,NVIDIA,Pascal,Tesla,2016-06-20,,250,,732200000000,9526000000000,,,,19050000000000,76200000000,16,normalized,normalized NVIDIA special-case rule,2020.acl-main.202
