paper_id,is_strict,is_lb1_gfimp,paper_year,paper_venue,paper_max_row_compute_capability,paper_max_row_compute_capability_gfimp_lb1,n_organizations,has_company,has_education,has_industry_academia,has_cross_sector,has_international_collab,topic,max_tflops_raw,max_tflops_lb1,log10_max_tflops_raw,log10_max_tflops_lb1,log1p_n_organizations,Company_i,IndustryAcademia_i,CrossSector_i,International_i,nOrganizations_i,log1p_nOrganizations_i,year_fe,topic_fe,venue_fe
2020.acl-main.119,0,1,2020,ACL,,5704000000000,1,0,1,0,0,0,"Syntax: Tagging, Chunking and Parsing",,5.704,,0.7561795168438091,0.6931471805599453,0,0,0,0,1,0.6931471805599453,2020,"Syntax: Tagging, Chunking and Parsing",ACL
2020.acl-main.121,0,1,2020,ACL,,12150000000000,3,1,1,1,1,0,Summarization,,12.15,,1.084576277934331,1.3862943611198906,1,1,1,0,3,1.3862943611198906,2020,Summarization,ACL
2020.acl-main.125,0,1,2020,ACL,,47040000000000,1,1,0,0,0,0,Summarization,,47.04,,1.672467313068082,0.6931471805599453,1,0,0,0,1,0.6931471805599453,2020,Summarization,ACL
2020.acl-main.129,1,1,2020,ACL,107000000000000.0,107000000000000,2,1,1,1,1,0,Dialogue and Interactive Systems,107.0,107.0,2.0293837776852097,2.0293837776852097,1.0986122886681098,1,1,1,0,2,1.0986122886681098,2020,Dialogue and Interactive Systems,ACL
2020.acl-main.133,0,1,2020,ACL,,9526000000000,1,0,1,0,0,0,Dialogue and Interactive Systems,,9.526,,0.9789105771755716,0.6931471805599453,0,0,0,0,1,0.6931471805599453,2020,Dialogue and Interactive Systems,ACL
2020.acl-main.144,0,1,2020,ACL,,9526000000000,2,1,1,1,1,0,Machine Translation,,9.526,,0.9789105771755716,1.0986122886681098,1,1,1,0,2,1.0986122886681098,2020,Machine Translation,ACL
2020.acl-main.145,0,1,2020,ACL,,35492000000000,3,0,1,0,0,1,Machine Translation,,35.492,,1.5501304728469034,1.3862943611198906,0,0,0,1,3,1.3862943611198906,2020,Machine Translation,ACL
2020.acl-main.149,0,1,2020,ACL,,152416000000000,6,0,1,0,0,1,Machine Translation,,152.416,,2.1830305598314963,1.9459101490553132,0,0,0,1,6,1.9459101490553132,2020,Machine Translation,ACL
2020.acl-main.15,1,1,2020,ACL,227600000000000.0,227600000000000,3,1,1,1,1,1,Machine Translation,227.6,227.6,2.3571722577230334,2.3571722577230334,1.3862943611198906,1,1,1,1,3,1.3862943611198906,2020,Machine Translation,ACL
2020.acl-main.156,0,1,2020,ACL,,45360000000000,2,0,1,0,1,0,Multilingualism and Cross-Lingual NLP,,45.36,,1.6566730458848502,1.0986122886681098,0,0,1,0,2,1.0986122886681098,2020,Multilingualism and Cross-Lingual NLP,ACL
