sample,outcome,family,moderator,nobs,n_Z1,share_Z1,formula,slope_Z0_beta1,se_slope_Z0,p_slope_Z0,ci_low_slope_Z0,ci_high_slope_Z0,beta3_interaction,se_beta3,p_beta3,ci_low_beta3,ci_high_beta3,slope_Z1_beta1_plus_beta3,se_slope_Z1,p_slope_Z1,ci_low_slope_Z1,ci_high_slope_Z1,r2,interaction_term,beta3_pct_extra_return,slope_Z1_pct_return,moderator_label,moderator_main_absorbed_by_FE,q_beta3_fdr_bh,topic,n_topic_raw
gpu_lb1_2020_2023,log1p_cites,ols,topic__multilingualism_and_cross_lingual_nlp,3155,163,0.05166402535657686,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__multilingualism_and_cross_lingual_nlp + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.1708297880418418,0.036251535813424544,2.4488085626786996e-06,0.09977808346326575,0.24188149262041783,0.2353630429186368,0.12725812604738646,0.06438662409441552,-0.014058300874299184,0.48478438671157276,0.4061928309604786,0.12365171000568717,0.0010199126024526717,0.1638399327225407,0.6485457291984165,0.20354923751924026,log10_max_compute_c:topic__multilingualism_and_cross_lingual_nlp,0.26536806827177983,0.5010919815602481,Multilingualism and Cross-Lingual NLP,True,0.32193312047207756,Multilingualism and Cross-Lingual NLP,163
gpu_lb1_2020_2023,log1p_cites,ols,topic__ethics_bias_and_fairness,3155,74,0.023454833597464343,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__ethics_bias_and_fairness + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18522860180625583,0.03559307439105002,1.9497784913303555e-07,0.11546745790074288,0.2549897457117688,0.2124405649081619,0.20544739077068555,0.30111804419867116,-0.1902289217201085,0.6151100515364323,0.39766916671441777,0.20347566631250558,0.05065606533683812,-0.0011358109883831125,0.7964741444172186,0.2026851894480124,log10_max_compute_c:topic__ethics_bias_and_fairness,0.23669260844215612,0.48835155221364257,"Ethics, Bias, and Fairness",True,0.8603372691390605,"Ethics, Bias, and Fairness",74
gpu_lb1_2020_2023,log1p_cites,ols,topic__language_modeling,3155,133,0.042155309033280505,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__language_modeling + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.17938605398091984,0.03614504945842958,6.943065083979994e-07,0.10854305882297888,0.2502290491388608,0.14511768568132813,0.15373585178018817,0.3451994265509425,-0.15619904694042866,0.44643441830308495,0.324503739662248,0.1504412568248689,0.031004655190728272,0.02964429449656436,0.6193631848279316,0.2028143602620084,log10_max_compute_c:topic__language_modeling,0.1561756275783326,0.38334397686233457,Language Modeling,True,0.8629985663773562,Language Modeling,133
gpu_lb1_2020_2023,log1p_cites,ols,topic__machine_learning_for_nlp,3155,165,0.05229793977812995,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__machine_learning_for_nlp + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18309909846302477,0.03594013142026626,3.495550713345408e-07,0.11265773527966652,0.253540461646383,0.11037174284750823,0.1551520929052568,0.47685019869027023,-0.19372077137280758,0.414464257067824,0.293470841310533,0.1523618322529511,0.05408638584127917,-0.0051528625237843295,0.5920945451448504,0.20263106174073497,log10_max_compute_c:topic__machine_learning_for_nlp,0.11669311598771825,0.34107407487755825,Machine Learning for NLP,True,0.8705081320758047,Machine Learning for NLP,165
gpu_lb1_2020_2023,log1p_cites,ols,topic__discourse_and_pragmatics,3155,50,0.01584786053882726,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__discourse_and_pragmatics + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18786340012417985,0.03547414804705162,1.185073206302033e-07,0.11833534756971678,0.25739145267864294,0.10187151675457323,0.29752160746806533,0.732049589158646,-0.481260118505298,0.6850031520144444,0.2897349168787531,0.29590163842024353,0.3275011486382001,-0.2902216373913178,0.869691471148824,0.20249458576692303,log10_max_compute_c:topic__discourse_and_pragmatics,0.10724120064547482,0.33607327060622993,Discourse and Pragmatics,True,0.8705081320758047,Discourse and Pragmatics,50
gpu_lb1_2020_2023,log1p_cites,ols,topic__generation,3155,199,0.0630744849445325,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__generation + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.1839976521880431,0.03638408770454153,4.2569953753773915e-07,0.11268615067679508,0.2553091536992911,0.07783937746668139,0.13416759469852646,0.5618031783991602,-0.18512427603479753,0.34080303096816034,0.2618370296547245,0.13022163598757222,0.044356840618351975,0.006607313111197943,0.517066746198251,0.2025616118504403,log10_max_compute_c:topic__generation,0.08094901995533776,0.2993147753964094,Generation,True,0.8705081320758047,Generation,200
gpu_lb1_2020_2023,log1p_cites,ols,topic__computational_social_science_and_cultural_analytics,3155,115,0.03645007923930269,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__computational_social_science_and_cultural_analytics + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18699264136929808,0.03585271448439812,1.8324458550017587e-07,0.11672261223188023,0.2572626705067159,0.07238429636756205,0.1771467327470237,0.6828243582196369,-0.27481691979554657,0.41958551253067067,0.2593769377368601,0.17410259350021415,0.1362785020637782,-0.08185787513857695,0.6006117506122972,0.2025032990201161,log10_max_compute_c:topic__computational_social_science_and_cultural_analytics,0.07506840957362249,0.2961222701569639,Computational Social Science and Cultural Analytics,True,0.8705081320758047,Computational Social Science and Cultural Analytics,115
gpu_lb1_2020_2023,log1p_cites,ols,topic__nlp_applications,3155,95,0.030110935023771792,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__nlp_applications + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.187514452355899,0.03541478177391214,1.1914184484347272e-07,0.11810275555868567,0.25692614915311235,0.05437169040248155,0.24066047677221244,0.8212582272439424,-0.41731417657329306,0.5260575573782562,0.24188614275838055,0.23936957486592678,0.31224942314887816,-0.22726960297350007,0.7110418884902612,0.20248510445619528,log10_max_compute_c:topic__nlp_applications,0.055876988570283004,0.273649170379094,NLP Applications,True,0.8705081320758047,NLP Applications,95
gpu_lb1_2020_2023,log1p_cites,ols,topic__information_retrieval_and_text_mining,3155,93,0.0294770206022187,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__information_retrieval_and_text_mining + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18811208787774444,0.03566468344097893,1.3314467086677134e-07,0.1182105928134037,0.2580135829420852,0.03203511112613461,0.19100046815263508,0.8668014498894212,-0.3423189274833197,0.40638914973558893,0.22014719900387905,0.18911290214829077,0.2443816253601967,-0.15050727821861828,0.5908016762263764,0.20247027069341517,log10_max_compute_c:topic__information_retrieval_and_text_mining,0.032553758793929966,0.2462601653412555,Information Retrieval and Text Mining,True,0.8705081320758047,Information Retrieval and Text Mining,93
gpu_lb1_2020_2023,log1p_cites,ols,topic__information_extraction,3155,282,0.08938193343898573,log1p_cites ~ log10_max_compute_c + log10_max_compute_c:topic__information_extraction + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group) + has_company + has_industry_academia,0.18696263204556052,0.03644231533841115,2.891702305304662e-07,0.11553700646902307,0.25838825762209794,0.03182676902845516,0.12556861720764462,0.7999118610760884,-0.21428319828702477,0.2779367363439351,0.21878940107401568,0.12161597655889743,0.0720157421834402,-0.019573532926090736,0.4571523350741221,0.20247901593743944,log10_max_compute_c:topic__information_extraction,0.03233865678603598,0.24456914416101228,Information Extraction,True,0.8705081320758047,Information Extraction,282
